,title,url
40,Le Lion et l’Âne chassant ,http:/www.lesfables.fr/livre-2/le-lion-et-l-ane-chassant
41,Testament expliqué par Ésope,http:/www.lesfables.fr/livre-2/testament-explique-par-esope
42,"Le Meunier, son Fils et l’Âne",http:/www.lesfables.fr/livre-3/le-meunier-son-fils-et-l-ane
43,Les Membres et l’Estomac,http:/www.lesfables.fr/livre-3/les-membres-et-l-estomac
44,Le Loup devenu berger,http:/www.lesfables.fr/livre-3/le-loup-devenu-berger
45,Les Grenouilles qui demandent un roi,http:/www.lesfables.fr/livre-3/les-grenouilles-qui-demandent-un-roi
46,Le Renard et le Bouc,http:/www.lesfables.fr/livre-3/le-renard-et-le-bouc
47,"L’Aigle, la Laie et la Chatte",http:/www.lesfables.fr/livre-3/l-aigle-la-laie-et-la-chatte
48,L’Ivrogne et sa Femme,http:/www.lesfables.fr/livre-3/l-ivrogne-et-sa-femme
49,La Goutte et l’Araignée,http:/www.lesfables.fr/livre-3/la-goutte-et-l-araignee
50,Le Loup et la Cigogne,http:/www.lesfables.fr/livre-3/le-loup-et-la-cigogne
51,Le Lion abattu par l’homme,http:/www.lesfables.fr/livre-3/le-lion-abattu-par-l-homme
52,Le Renard et les Raisins,http:/www.lesfables.fr/livre-3/le-renard-et-les-raisins
53,Le Cygne et le Cuisinier,http:/www.lesfables.fr/livre-3/le-cygne-et-le-cuisinier
54,Les Loups et les Brebis,http:/www.lesfables.fr/livre-3/les-loups-et-les-brebis
55,Le Lion devenu vieux,http:/www.lesfables.fr/livre-3/le-lion-devenu-vieux
56,Philomèle et Progné,http:/www.lesfables.fr/livre-3/philomele-et-progne
57,La Femme noyée,http:/www.lesfables.fr/livre-3/la-femme-noyee
58,La Belette entrée dans un grenier,http:/www.lesfables.fr/livre-3/la-belette-entree-dans-un-grenier
59,Le Chat et un vieux Rat,http:/www.lesfables.fr/livre-3/le-chat-et-un-vieux-rat
60,Le Lion amoureux,http:/www.lesfables.fr/livre-4/le-lion-amoureux
61,Le Berger et la Mer,http:/www.lesfables.fr/livre-4/le-berger-et-la-mer
62,La Mouche et la Fourmi,http:/www.lesfables.fr/livre-4/la-mouche-et-la-fourmi
63,Le Jardinier et son Seigneur,http:/www.lesfables.fr/livre-4/le-jardinier-et-son-seigneur
64,L’Âne et le petit Chien,http:/www.lesfables.fr/livre-4/l-ane-et-le-petit-chien
65,Le Combat des Rats et des Belettes,http:/www.lesfables.fr/livre-4/le-combat-des-rats-et-des-belettes
66,Le Singe et le Dauphin,http:/www.lesfables.fr/livre-4/le-singe-et-le-dauphin
67,L’Homme et l’Idole de bois,http:/www.lesfables.fr/livre-4/l-homme-et-l-idole-de-bois
68,Le Geai paré des plumes du Paon,http:/www.lesfables.fr/livre-4/le-geai-pare-des-plumes-du-paon
69,Le Chameau et les Bâtons flottants,http:/www.lesfables.fr/livre-4/le-chameau-et-les-batons-flottants
70,La Grenouille et le Rat,http:/www.lesfables.fr/livre-4/la-grenouille-et-le-rat
71,Tribut envoyé par les animaux à Alexandre,http:/www.lesfables.fr/livre-4/tribut-envoye-par-les-animaux-alexandre
72,Le Cheval s’étant voulu venger du Cerf,http:/www.lesfables.fr/livre-4/le-cheval-s-etant-voulu-venger-du-cerf
